FRE,235500
FOG,687600
FTM,967500
FTW,882700
FRW,387300
FZH,855600
FSB,526100
FSG,528400
FEN,137700
FEA,854400
FLW,558700
FNV,295200
FZP,314400
FYS,407400
GAL,932900
SGB,111400
XGJ,111402
GWY,048700
GRF,847400
GAR,990400
GSD,210400
GTH,414800
GVE,864000
GSW,233500
GST,239700
GTY,295300
GBL,642400
GBK,232500
GNB,646500
GOD,562900
GER,305100
GNF,290000
GFD,313600
GIG,265500
GUI,295500
GDP,687700
GFN,979400
GIP,536300
GIR,950100
GLS,792100
GLR,430800
GLH,836000
GLZ,230100
GBD,811700
GOE,828400
GFF,402200
GGT,968500
GLC,981300
GCL,992200
HST,990900
GLG,950300
GLQ,995000
GQL,991200
GIL,579600
GCW,245400
GLE,871500
GLF,882800
XGI,516966
GLM,516900
GLT,930100
GCR,476000
GLO,289500
XEA,323156
GLY,533800
GNH,513800
GNL,221800
XBK,221801
GUN,558800
GTN,383900
GNW,514600
GOB,445700
GDE,295400
GDL,294800
GMY,687800
GDN,547400
GOF,909600
GOL,864300
GOM,529800
XFO,342759
GOO,802500
GTR,122000
GOR,303300
GGL,990800
GDH,602800
GBG,639100
GBS,527200
GTO,296200
GPO,140900
GRK,963500
GOS,196500
GWN,413100
GOX,620600
GRT,551400
GVH,113200
GRY,744300
GNR,199600
GKC,968100
GKW,968200
GEA,961000
XGS,961060
GGJ,864100
GGV,265400
GCH,997100
GMD,627600
GMB,628000
GRN,282500
GRL,972500
GGM,987300
XGM,987262
GRO,532600
GMT,815500
GPK,602900
GSN,155900
GRM,222800
GRH,972300
GMG,396100
XGP,513911
GRP,513900
GRV,517200
GRS,997900
GTA,792200
GRB,685500
GRC,703200
GCT,627500
XGZ,815515
GRA,646900
GMV,489200
GMN,146300
MCE,772500
GTW,541600
XGT,541614
XFQ,563113
GLD,563100
GSY,856700
GSL,356300
GNT,729900
GWE,430000
GYP,793000
HAB,628100
HKC,697700
HKW,697800
HDF,289600
HAD,730000
HDW,607500
HDM,305300
HGF,258500
HGG,102200
HAG,457700
HGT,821300
HAC,686700
HAL,284500
HAI,517300
HLR,222900
XHR,222960
HAS,726600
HED,229500
ZHA,059300
HMM,824100
HNC,972600
HNW,972700
HMP,556000
HSD,114500
BKQ,221900
HMW,558900
HND,300700
XHN,136403
HAN,319100
HPN,255700
HDN,152100
HMY,981000
HOH,059800
HTF,223000
HWC,690500
HSL,563300
HSK,548900
HGS,521900
HAT,607000
HSG,282600
HTY,260400
HTN,459400
HAV,553200
HVN,626000
HVF,407900
HWD,242800
HWB,214600
HMK,025200
HWK,933100
XHV,846815
HAY,318600
HYL,351300
HYM,941900
XHA,941963
HYS,505000
HAZ,276800
HBD,852400
HBN,514100
HIB,523500
HBB,622100
HBY,457900
HCH,122100
HEC,622000
HMC,556100
HNF,114800
HEN,152200
HUD,843700
HCN,522000
HLI,628300
HHL,384500
HLL,390800
HDE,589300
HDY,849800
HDL,143400
HLD,265600
HMS,864700
HSB,214900
HML,139100
HNG,402800
HNL,452400
HEL,812900
XHK,488100
HFD,360700
HNH,506600
HER,559000
HFE,681800
HES,806700
HSW,213800
HBF,788400
HEV,541700
